timestamp,angulo_brazo_d,angulo_brazo_i,angulo_pierna_d,angulo_pierna_i
1761484412.35,76.03,152.04,176.02,177.17
1761484412.42,81.28,152.27,177.91,179.52
1761484412.48,88.22,153.31,177.16,179.72
1761484412.55,94.07,152.51,174.79,176.48
1761484412.62,98.3,150.33,173.03,174.44
1761484412.69,95.73,149.88,172.77,174.25
1761484412.76,95.65,143.1,173.1,174.1
1761484412.82,95.9,124.16,174.42,173.33
1761484412.89,90.12,122.66,176.74,176.9
1761484412.95,84.27,119.96,179.16,176.6
1761484413.02,78.74,103.02,178.66,179.92
1761484413.08,79.32,88.75,179.29,176.38
1761484413.15,85.05,78.34,175.85,177.61
1761484413.22,95.17,73.92,175.84,175.91
1761484413.28,117.34,51.68,176.84,177.47
1761484413.35,138.81,20.78,176.04,179.49
1761484413.42,147.84,7.57,179.77,175.22
1761484413.48,169.64,14.23,178.64,177.81
1761484413.55,173.04,26.68,178.86,179.21
1761484413.62,164.95,35.73,179.48,176.7
1761484413.68,160.44,42.65,178.64,176.78
1761484413.75,154.75,55.68,177.35,178.49
1761484413.81,152.33,75.76,174.8,179.74
1761484413.88,138.71,83.43,175.73,178.17
1761484413.95,121.65,97.86,175.44,174.81
1761484414.03,124.52,149.1,178.96,179.7
1761484414.09,137.02,115.91,179.3,175.47
1761484414.23,94.24,100.59,139.22,152.63
1761484414.28,73.98,93.22,114.3,143.54
1761484414.35,46.99,64.59,122.72,139.64
1761484414.56,152.14,162.23,152.06,170.02
1761484414.69,58.06,170.72,173.16,176.5
1761484414.75,87.22,170.18,177.34,174.51
1761484414.82,109.55,169.87,176.92,174.17
1761484414.88,123.31,174.5,179.89,176.0
1761484414.95,131.34,174.67,178.65,175.89
1761484415.01,139.83,176.09,178.78,176.22
1761484415.08,155.91,168.84,179.55,174.7
1761484415.15,169.1,163.28,178.78,175.15
1761484415.22,177.84,156.69,177.14,175.51
1761484415.28,174.76,146.76,177.93,176.35
1761484415.35,167.2,130.91,179.62,175.77
1761484415.42,163.96,111.43,178.86,173.65
1761484415.5,161.87,91.58,179.05,176.69
1761484415.55,160.06,83.21,179.67,176.99
1761484415.62,158.61,78.82,178.69,176.71
1761484415.69,154.68,75.32,178.96,176.92
1761484415.75,154.2,72.11,179.34,177.45
1761484415.82,155.31,76.29,178.88,177.89
1761484415.88,157.91,78.7,179.77,179.22
1761484415.95,158.29,81.8,180.0,179.48
1761484416.01,158.63,95.8,179.5,179.98
1761484416.08,156.33,110.03,179.08,179.16
1761484416.15,154.12,122.06,179.17,179.9
1761484416.22,153.25,130.6,178.4,179.03
1761484416.28,154.47,146.55,179.73,178.64
1761484416.35,154.36,161.42,179.01,178.89
1761484416.42,155.04,169.94,172.9,178.22
1761484416.48,155.94,175.93,174.29,177.77
1761484416.55,156.46,174.68,173.23,177.32
1761484416.62,157.72,173.07,171.62,176.13
1761484416.68,158.71,169.03,177.61,176.43
1761484416.75,160.59,166.19,179.28,176.58
1761484416.82,160.89,162.41,178.58,179.24
1761484416.88,162.4,158.19,178.66,178.01
1761484416.95,161.85,149.58,179.24,178.16
1761484417.02,161.28,132.68,179.75,178.97
1761484417.08,159.51,103.77,178.59,178.76
1761484417.15,160.16,73.56,178.78,174.4
1761484417.22,155.27,63.02,178.22,176.54
1761484417.28,88.35,62.12,178.35,176.38
1761484417.35,29.52,69.12,179.33,176.02
1761484417.42,28.73,84.0,176.58,176.26
1761484417.48,46.16,101.81,177.04,177.71
1761484417.55,49.06,114.18,178.2,178.78
1761484417.62,54.25,117.64,177.88,178.09
1761484417.68,57.65,113.82,176.35,177.31
1761484417.76,61.06,109.58,178.1,176.87
1761484417.82,69.4,105.43,178.85,177.45
1761484417.89,99.37,95.51,174.53,177.23
1761484417.95,176.41,104.04,173.83,179.32
1761484418.02,174.13,126.96,174.71,179.57
1761484418.08,170.49,162.04,175.43,179.44
1761484418.15,170.71,176.16,176.02,178.79
1761484418.22,168.55,176.42,177.65,178.06
1761484418.28,156.15,178.84,179.91,176.93
1761484418.35,156.3,173.82,179.6,174.47
1761484418.42,164.97,173.23,179.14,175.5
1761484418.49,162.81,175.45,179.69,176.26
1761484418.55,164.67,179.1,179.58,176.52
1761484418.62,162.79,174.69,179.22,177.01
1761484418.68,163.37,167.78,176.75,179.83
1761484418.75,165.33,139.71,176.56,179.89
1761484418.82,166.42,113.25,177.82,179.65
1761484418.88,172.96,93.85,178.36,179.3
1761484418.95,174.48,82.73,178.56,176.93
1761484419.02,170.23,80.4,178.52,178.69
1761484419.08,70.21,86.64,178.49,179.02
1761484419.15,47.9,88.18,178.35,179.46
